arrival_time,dis,vehicle_id
2019/1/1 8:35,0,836355470926_1
2019/1/1 8:37,1.32358,836355470926_1
2019/1/1 8:41,2.23103,836355470926_1
2019/1/1 8:45,2.83657,836355470926_1
2019/1/1 8:48,3.50861,836355470926_1
2019/1/1 8:49,4.18638,836355470926_1
2019/1/1 8:53,4.91402,836355470926_1
2019/1/1 8:55,5.72472,836355470926_1
2019/1/1 8:57,6.64341,836355470926_1
2019/1/1 8:59,7.05932,836355470926_1
2019/1/1 9:01,7.92201,836355470926_1
2019/1/1 9:04,9.30669,836355470926_1
2019/1/1 9:09,10.32271,836355470926_1
2019/1/1 9:13,11.79302,836355470926_1
2019/1/1 9:15,12.20109,836355470926_1
2019/1/1 9:18,12.95712,836355470926_1
2019/1/1 9:20,13.65437,836355470926_1
2019/1/1 9:22,14.32924,836355470926_1
2019/1/1 9:25,15.07501,836355470926_1
2019/1/1 9:30,16.71311,836355470926_1
2019/1/1 9:35,18.3731,836355470926_1
2019/1/1 9:41,19.80024,836355470926_1
2019/1/1 9:45,21.12827,836355470926_1
2019/1/1 11:50,0,836355470926_3
2019/1/1 11:54,1.32358,836355470926_3
2019/1/1 11:58,2.23103,836355470926_3
2019/1/1 12:00,2.83657,836355470926_3
2019/1/1 12:03,3.50861,836355470926_3
2019/1/1 12:05,4.18638,836355470926_3
2019/1/1 12:09,4.91402,836355470926_3
2019/1/1 12:12,5.72472,836355470926_3
2019/1/1 12:18,6.64341,836355470926_3
2019/1/1 12:19,7.05932,836355470926_3
2019/1/1 12:23,7.92201,836355470926_3
2019/1/1 12:27,9.30669,836355470926_3
2019/1/1 12:30,10.32271,836355470926_3
2019/1/1 12:35,11.79302,836355470926_3
2019/1/1 12:37,12.20109,836355470926_3
2019/1/1 12:39,12.95712,836355470926_3
2019/1/1 12:41,13.65437,836355470926_3
2019/1/1 12:44,14.32924,836355470926_3
2019/1/1 12:46,15.07501,836355470926_3
2019/1/1 12:52,16.71311,836355470926_3
2019/1/1 12:57,18.3731,836355470926_3
2019/1/1 13:02,19.80024,836355470926_3
2019/1/1 13:06,21.12827,836355470926_3
2019/1/1 16:12,0,836355470926_5
2019/1/1 16:16,1.32358,836355470926_5
2019/1/1 16:18,2.23103,836355470926_5
2019/1/1 16:21,2.83657,836355470926_5
2019/1/1 16:24,3.50861,836355470926_5
2019/1/1 16:25,4.18638,836355470926_5
2019/1/1 16:29,4.91402,836355470926_5
2019/1/1 16:33,5.72472,836355470926_5
2019/1/1 16:36,6.64341,836355470926_5
2019/1/1 16:37,7.05932,836355470926_5
2019/1/1 16:40,7.92201,836355470926_5
2019/1/1 16:43,9.30669,836355470926_5
2019/1/1 16:47,10.32271,836355470926_5
2019/1/1 16:52,11.79302,836355470926_5
2019/1/1 16:53,12.20109,836355470926_5
2019/1/1 16:55,12.95712,836355470926_5
2019/1/1 17:09,13.65437,836355470926_5
2019/1/1 17:21,14.32924,836355470926_5
2019/1/1 17:26,15.07501,836355470926_5
2019/1/1 17:37,16.71311,836355470926_5
2019/1/1 17:47,18.3731,836355470926_5
2019/1/1 17:55,19.80024,836355470926_5
2019/1/1 17:59,21.12827,836355470926_5
2019/1/1 19:55,0,836355470926_7
2019/1/1 19:59,1.32358,836355470926_7
2019/1/1 20:02,2.23103,836355470926_7
2019/1/1 20:04,2.83657,836355470926_7
2019/1/1 20:06,3.50861,836355470926_7
2019/1/1 20:07,4.18638,836355470926_7
2019/1/1 20:09,4.91402,836355470926_7
2019/1/1 20:12,5.72472,836355470926_7
2019/1/1 20:15,6.64341,836355470926_7
2019/1/1 20:16,7.05932,836355470926_7
2019/1/1 20:19,7.92201,836355470926_7
2019/1/1 20:22,9.30669,836355470926_7
2019/1/1 20:25,10.32271,836355470926_7
2019/1/1 20:30,11.79302,836355470926_7
2019/1/1 20:31,12.20109,836355470926_7
2019/1/1 20:33,12.95712,836355470926_7
2019/1/1 20:35,13.65437,836355470926_7
2019/1/1 20:39,14.32924,836355470926_7
2019/1/1 20:40,15.07501,836355470926_7
2019/1/1 20:47,16.71311,836355470926_7
2019/1/1 20:54,18.3731,836355470926_7
2019/1/1 20:59,19.80024,836355470926_7
2019/1/1 21:03,21.12827,836355470926_7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2019/1/1 0:00,19.80024,360035357156_0
2019/1/1 0:02,21.12827,360035357156_0
2019/1/1 7:30,0,360035357156_2
2019/1/1 7:33,1.32358,360035357156_2
2019/1/1 7:35,2.23103,360035357156_2
2019/1/1 7:39,2.83657,360035357156_2
2019/1/1 7:40,3.50861,360035357156_2
2019/1/1 7:43,4.18638,360035357156_2
2019/1/1 7:46,4.91402,360035357156_2
2019/1/1 7:49,5.72472,360035357156_2
2019/1/1 7:54,6.64341,360035357156_2
2019/1/1 7:55,7.05932,360035357156_2
2019/1/1 7:57,7.92201,360035357156_2
2019/1/1 8:00,9.30669,360035357156_2
2019/1/1 8:05,10.32271,360035357156_2
2019/1/1 8:09,11.79302,360035357156_2
2019/1/1 8:10,12.20109,360035357156_2
2019/1/1 8:12,12.95712,360035357156_2
2019/1/1 8:14,13.65437,360035357156_2
2019/1/1 8:17,14.32924,360035357156_2
2019/1/1 8:19,15.07501,360035357156_2
2019/1/1 8:23,16.71311,360035357156_2
2019/1/1 8:27,18.3731,360035357156_2
2019/1/1 8:31,19.80024,360035357156_2
2019/1/1 8:35,21.12827,360035357156_2
2019/1/1 10:27,0,360035357156_4
2019/1/1 10:29,1.32358,360035357156_4
2019/1/1 10:33,2.23103,360035357156_4
2019/1/1 10:37,2.83657,360035357156_4
2019/1/1 10:39,3.50861,360035357156_4
2019/1/1 10:43,4.18638,360035357156_4
2019/1/1 10:46,4.91402,360035357156_4
2019/1/1 10:48,5.72472,360035357156_4
2019/1/1 10:53,6.64341,360035357156_4
2019/1/1 10:54,7.05932,360035357156_4
2019/1/1 10:58,7.92201,360035357156_4
2019/1/1 11:01,9.30669,360035357156_4
2019/1/1 11:04,10.32271,360035357156_4
2019/1/1 11:08,11.79302,360035357156_4
2019/1/1 11:09,12.20109,360035357156_4
2019/1/1 11:11,12.95712,360035357156_4
2019/1/1 11:12,13.65437,360035357156_4
2019/1/1 11:15,14.32924,360035357156_4
2019/1/1 11:17,15.07501,360035357156_4
2019/1/1 11:22,16.71311,360035357156_4
2019/1/1 11:28,18.3731,360035357156_4
2019/1/1 11:32,19.80024,360035357156_4
2019/1/1 11:36,21.12827,360035357156_4
2019/1/1 14:05,0,360035357156_6
2019/1/1 14:08,1.32358,360035357156_6
2019/1/1 14:10,2.23103,360035357156_6
2019/1/1 14:16,2.83657,360035357156_6
2019/1/1 14:18,3.50861,360035357156_6
2019/1/1 14:20,4.18638,360035357156_6
2019/1/1 14:22,4.91402,360035357156_6
2019/1/1 14:24,5.72472,360035357156_6
2019/1/1 14:27,6.64341,360035357156_6
2019/1/1 14:29,7.05932,360035357156_6
2019/1/1 14:31,7.92201,360035357156_6
2019/1/1 14:34,9.30669,360035357156_6
2019/1/1 14:39,10.32271,360035357156_6
2019/1/1 14:42,11.79302,360035357156_6
2019/1/1 14:44,12.20109,360035357156_6
2019/1/1 14:46,12.95712,360035357156_6
2019/1/1 15:01,13.65437,360035357156_6
2019/1/1 15:13,14.32924,360035357156_6
2019/1/1 15:17,15.07501,360035357156_6
2019/1/1 15:21,16.71311,360035357156_6
2019/1/1 15:26,18.3731,360035357156_6
2019/1/1 15:29,19.80024,360035357156_6
2019/1/1 15:33,21.12827,360035357156_6
2019/1/1 18:21,0,360035357156_8
2019/1/1 18:24,1.32358,360035357156_8
2019/1/1 18:28,2.23103,360035357156_8
2019/1/1 18:32,2.83657,360035357156_8
2019/1/1 18:33,3.50861,360035357156_8
2019/1/1 18:35,4.18638,360035357156_8
2019/1/1 18:38,4.91402,360035357156_8
2019/1/1 18:41,5.72472,360035357156_8
2019/1/1 18:45,6.64341,360035357156_8
2019/1/1 18:46,7.05932,360035357156_8
2019/1/1 18:48,7.92201,360035357156_8
2019/1/1 18:51,9.30669,360035357156_8
2019/1/1 18:53,10.32271,360035357156_8
2019/1/1 18:58,11.79302,360035357156_8
2019/1/1 18:59,12.20109,360035357156_8
2019/1/1 19:01,12.95712,360035357156_8
2019/1/1 19:03,13.65437,360035357156_8
2019/1/1 19:06,14.32924,360035357156_8
2019/1/1 19:08,15.07501,360035357156_8
2019/1/1 19:18,16.71311,360035357156_8
2019/1/1 19:22,18.3731,360035357156_8
2019/1/1 19:26,19.80024,360035357156_8
2019/1/1 19:30,21.12827,360035357156_8
2019/1/1 21:14,0,360035357156_10
2019/1/1 21:16,1.32358,360035357156_10
2019/1/1 21:18,2.23103,360035357156_10
2019/1/1 21:22,2.83657,360035357156_10
2019/1/1 21:24,3.50861,360035357156_10
2019/1/1 21:25,4.18638,360035357156_10
2019/1/1 21:26,4.91402,360035357156_10
2019/1/1 21:30,5.72472,360035357156_10
2019/1/1 21:32,6.64341,360035357156_10
2019/1/1 21:33,7.05932,360035357156_10
2019/1/1 21:36,7.92201,360035357156_10
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2019/1/1 8:50,0,953896960265_1
2019/1/1 8:53,1.32358,953896960265_1
2019/1/1 8:57,2.23103,953896960265_1
2019/1/1 9:02,2.83657,953896960265_1
2019/1/1 9:04,3.50861,953896960265_1
2019/1/1 9:08,4.18638,953896960265_1
2019/1/1 9:09,4.91402,953896960265_1
2019/1/1 9:13,5.72472,953896960265_1
2019/1/1 9:18,6.64341,953896960265_1
2019/1/1 9:19,7.05932,953896960265_1
2019/1/1 9:23,7.92201,953896960265_1
2019/1/1 9:27,9.30669,953896960265_1
2019/1/1 9:31,10.32271,953896960265_1
2019/1/1 9:36,11.79302,953896960265_1
2019/1/1 9:37,12.20109,953896960265_1
2019/1/1 9:39,12.95712,953896960265_1
2019/1/1 9:41,13.65437,953896960265_1
2019/1/1 9:43,14.32924,953896960265_1
2019/1/1 9:46,15.07501,953896960265_1
2019/1/1 9:51,16.71311,953896960265_1
2019/1/1 9:56,18.3731,953896960265_1
2019/1/1 10:00,19.80024,953896960265_1
2019/1/1 10:04,21.12827,953896960265_1
2019/1/1 12:26,0,953896960265_3
2019/1/1 12:28,1.32358,953896960265_3
2019/1/1 12:31,2.23103,953896960265_3
2019/1/1 12:33,2.83657,953896960265_3
2019/1/1 12:35,3.50861,953896960265_3
2019/1/1 12:37,4.18638,953896960265_3
2019/1/1 12:39,4.91402,953896960265_3
2019/1/1 12:40,5.72472,953896960265_3
2019/1/1 12:45,6.64341,953896960265_3
2019/1/1 12:46,7.05932,953896960265_3
2019/1/1 12:49,7.92201,953896960265_3
2019/1/1 12:52,9.30669,953896960265_3
2019/1/1 12:55,10.32271,953896960265_3
2019/1/1 12:59,11.79302,953896960265_3
2019/1/1 13:00,12.20109,953896960265_3
2019/1/1 13:02,12.95712,953896960265_3
2019/1/1 13:04,13.65437,953896960265_3
2019/1/1 13:07,14.32924,953896960265_3
2019/1/1 13:08,15.07501,953896960265_3
2019/1/1 13:13,16.71311,953896960265_3
2019/1/1 13:17,18.3731,953896960265_3
2019/1/1 13:22,19.80024,953896960265_3
2019/1/1 13:26,21.12827,953896960265_3
2019/1/1 16:49,0,953896960265_5
2019/1/1 16:52,1.32358,953896960265_5
2019/1/1 16:54,2.23103,953896960265_5
2019/1/1 16:57,2.83657,953896960265_5
2019/1/1 16:59,3.50861,953896960265_5
2019/1/1 17:01,4.18638,953896960265_5
2019/1/1 17:04,4.91402,953896960265_5
2019/1/1 17:07,5.72472,953896960265_5
2019/1/1 17:11,6.64341,953896960265_5
2019/1/1 17:12,7.05932,953896960265_5
2019/1/1 17:14,7.92201,953896960265_5
2019/1/1 17:17,9.30669,953896960265_5
2019/1/1 17:21,10.32271,953896960265_5
2019/1/1 17:27,11.79302,953896960265_5
2019/1/1 17:28,12.20109,953896960265_5
2019/1/1 17:29,12.95712,953896960265_5
2019/1/1 17:39,13.65437,953896960265_5
2019/1/1 17:42,14.32924,953896960265_5
2019/1/1 17:46,15.07501,953896960265_5
2019/1/1 17:53,16.71311,953896960265_5
2019/1/1 18:01,18.3731,953896960265_5
2019/1/1 18:13,19.80024,953896960265_5
2019/1/1 18:17,21.12827,953896960265_5
2019/1/1 20:20,0,953896960265_7
2019/1/1 20:23,1.32358,953896960265_7
2019/1/1 20:25,2.23103,953896960265_7
2019/1/1 20:30,2.83657,953896960265_7
2019/1/1 20:31,3.50861,953896960265_7
2019/1/1 20:33,4.18638,953896960265_7
2019/1/1 20:36,4.91402,953896960265_7
2019/1/1 20:37,5.72472,953896960265_7
2019/1/1 20:42,6.64341,953896960265_7
2019/1/1 20:42,7.05932,953896960265_7
2019/1/1 20:46,7.92201,953896960265_7
2019/1/1 20:49,9.30669,953896960265_7
2019/1/1 20:52,10.32271,953896960265_7
2019/1/1 20:56,11.79302,953896960265_7
2019/1/1 20:57,12.20109,953896960265_7
2019/1/1 20:59,12.95712,953896960265_7
2019/1/1 21:02,13.65437,953896960265_7
2019/1/1 21:04,14.32924,953896960265_7
2019/1/1 21:06,15.07501,953896960265_7
2019/1/1 21:11,16.71311,953896960265_7
2019/1/1 21:16,18.3731,953896960265_7
2019/1/1 21:20,19.80024,953896960265_7
2019/1/1 21:24,21.12827,953896960265_7
2019/1/1 20:22,0,154688293503_1
2019/1/1 20:24,1.32358,154688293503_1
2019/1/1 20:27,2.23103,154688293503_1
2019/1/1 20:30,2.83657,154688293503_1
2019/1/1 20:32,3.50861,154688293503_1
2019/1/1 20:35,4.18638,154688293503_1
2019/1/1 20:36,4.91402,154688293503_1
2019/1/1 20:39,5.72472,154688293503_1
2019/1/1 20:42,6.64341,154688293503_1
2019/1/1 20:43,7.05932,154688293503_1
2019/1/1 20:46,7.92201,154688293503_1
2019/1/1 20:49,9.30669,154688293503_1
2019/1/1 20:53,10.32271,154688293503_1
2019/1/1 20:55,11.79302,154688293503_1
2019/1/1 20:56,12.20109,154688293503_1
2019/1/1 20:58,12.95712,154688293503_1
2019/1/1 21:00,13.65437,154688293503_1
2019/1/1 21:02,14.32924,154688293503_1
2019/1/1 21:03,15.07501,154688293503_1
2019/1/1 21:09,16.71311,154688293503_1
2019/1/1 21:14,18.3731,154688293503_1
2019/1/1 21:18,19.80024,154688293503_1
2019/1/1 21:22,21.12827,154688293503_1
2019/1/1 9:32,0,360000948256_1
2019/1/1 9:35,1.32358,360000948256_1
2019/1/1 9:37,2.23103,360000948256_1
2019/1/1 9:40,2.83657,360000948256_1
2019/1/1 9:42,3.50861,360000948256_1
2019/1/1 9:45,4.18638,360000948256_1
2019/1/1 9:48,4.91402,360000948256_1
2019/1/1 9:50,5.72472,360000948256_1
2019/1/1 9:55,6.64341,360000948256_1
2019/1/1 9:56,7.05932,360000948256_1
2019/1/1 10:00,7.92201,360000948256_1
2019/1/1 10:03,9.30669,360000948256_1
2019/1/1 10:07,10.32271,360000948256_1
2019/1/1 10:12,11.79302,360000948256_1
2019/1/1 10:13,12.20109,360000948256_1
2019/1/1 10:15,12.95712,360000948256_1
2019/1/1 10:16,13.65437,360000948256_1
2019/1/1 10:19,14.32924,360000948256_1
2019/1/1 10:20,15.07501,360000948256_1
2019/1/1 10:25,16.71311,360000948256_1
2019/1/1 10:30,18.3731,360000948256_1
2019/1/1 10:35,19.80024,360000948256_1
2019/1/1 10:39,21.12827,360000948256_1
2019/1/1 13:40,0,360000948256_3
2019/1/1 13:43,1.32358,360000948256_3
2019/1/1 13:47,2.23103,360000948256_3
2019/1/1 13:53,2.83657,360000948256_3
2019/1/1 13:55,3.50861,360000948256_3
2019/1/1 13:57,4.18638,360000948256_3
2019/1/1 14:01,4.91402,360000948256_3
2019/1/1 14:04,5.72472,360000948256_3
2019/1/1 14:07,6.64341,360000948256_3
2019/1/1 14:09,7.05932,360000948256_3
2019/1/1 14:11,7.92201,360000948256_3
2019/1/1 14:15,9.30669,360000948256_3
2019/1/1 14:19,10.32271,360000948256_3
2019/1/1 14:25,11.79302,360000948256_3
2019/1/1 14:27,12.20109,360000948256_3
2019/1/1 14:29,12.95712,360000948256_3
2019/1/1 14:35,13.65437,360000948256_3
2019/1/1 14:45,14.32924,360000948256_3
2019/1/1 14:47,15.07501,360000948256_3
2019/1/1 14:53,16.71311,360000948256_3
2019/1/1 14:58,18.3731,360000948256_3
2019/1/1 15:05,19.80024,360000948256_3
2019/1/1 15:09,21.12827,360000948256_3
2019/1/1 17:53,0,360000948256_5
2019/1/1 17:57,1.32358,360000948256_5
2019/1/1 18:02,2.23103,360000948256_5
2019/1/1 18:03,2.83657,360000948256_5
2019/1/1 18:05,3.50861,360000948256_5
2019/1/1 18:07,4.18638,360000948256_5
2019/1/1 18:10,4.91402,360000948256_5
2019/1/1 18:12,5.72472,360000948256_5
2019/1/1 18:17,6.64341,360000948256_5
2019/1/1 18:18,7.05932,360000948256_5
2019/1/1 18:21,7.92201,360000948256_5
2019/1/1 18:23,9.30669,360000948256_5
2019/1/1 18:26,10.32271,360000948256_5
2019/1/1 18:30,11.79302,360000948256_5
2019/1/1 18:32,12.20109,360000948256_5
2019/1/1 18:34,12.95712,360000948256_5
2019/1/1 18:39,13.65437,360000948256_5
2019/1/1 18:41,14.32924,360000948256_5
2019/1/1 18:43,15.07501,360000948256_5
2019/1/1 18:50,16.71311,360000948256_5
2019/1/1 18:57,18.3731,360000948256_5
2019/1/1 18:59,19.80024,360000948256_5
2019/1/1 19:03,21.12827,360000948256_5
2019/1/1 20:43,0,360000948256_7
2019/1/1 20:45,1.32358,360000948256_7
2019/1/1 20:48,2.23103,360000948256_7
2019/1/1 20:51,2.83657,360000948256_7
2019/1/1 20:53,3.50861,360000948256_7
2019/1/1 20:55,4.18638,360000948256_7
2019/1/1 20:58,4.91402,360000948256_7
2019/1/1 21:02,5.72472,360000948256_7
2019/1/1 21:07,6.64341,360000948256_7
2019/1/1 21:08,7.05932,360000948256_7
2019/1/1 21:11,7.92201,360000948256_7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2019/1/1 22:24,0,360000948256_9
2019/1/1 22:27,1.32358,360000948256_9
2019/1/1 22:30,2.23103,360000948256_9
2019/1/1 22:33,2.83657,360000948256_9
2019/1/1 22:35,3.50861,360000948256_9
2019/1/1 22:37,4.18638,360000948256_9
2019/1/1 22:39,4.91402,360000948256_9
2019/1/1 22:41,5.72472,360000948256_9
2019/1/1 22:46,6.64341,360000948256_9
2019/1/1 22:47,7.05932,360000948256_9
2019/1/1 22:50,7.92201,360000948256_9
2019/1/1 22:52,9.30669,360000948256_9
2019/1/1 22:55,10.32271,360000948256_9
2019/1/1 22:59,11.79302,360000948256_9
2019/1/1 23:00,12.20109,360000948256_9
2019/1/1 23:02,12.95712,360000948256_9
2019/1/1 23:04,13.65437,360000948256_9
2019/1/1 23:06,14.32924,360000948256_9
2019/1/1 23:08,15.07501,360000948256_9
2019/1/1 23:13,16.71311,360000948256_9
2019/1/1 23:18,18.3731,360000948256_9
2019/1/1 23:23,19.80024,360000948256_9
2019/1/1 23:27,21.12827,360000948256_9
2019/1/1 6:56,0,198888293503_0
2019/1/1 7:00,1.32358,198888293503_0
2019/1/1 7:05,2.23103,198888293503_0
2019/1/1 7:09,2.83657,198888293503_0
2019/1/1 7:11,3.50861,198888293503_0
2019/1/1 7:13,4.18638,198888293503_0
2019/1/1 7:16,4.91402,198888293503_0
2019/1/1 7:20,5.72472,198888293503_0
2019/1/1 7:22,6.64341,198888293503_0
2019/1/1 7:24,7.05932,198888293503_0
2019/1/1 7:26,7.92201,198888293503_0
2019/1/1 7:28,9.30669,198888293503_0
2019/1/1 7:33,10.32271,198888293503_0
2019/1/1 7:37,11.79302,198888293503_0
2019/1/1 7:37,12.20109,198888293503_0
2019/1/1 7:39,12.95712,198888293503_0
2019/1/1 7:40,13.65437,198888293503_0
2019/1/1 7:42,14.32924,198888293503_0
2019/1/1 7:43,15.07501,198888293503_0
2019/1/1 7:46,16.71311,198888293503_0
2019/1/1 7:49,18.3731,198888293503_0
2019/1/1 7:53,19.80024,198888293503_0
2019/1/1 7:57,21.12827,198888293503_0
2019/1/1 10:00,0,198888293503_2
2019/1/1 10:04,1.32358,198888293503_2
2019/1/1 10:06,2.23103,198888293503_2
2019/1/1 10:10,2.83657,198888293503_2
2019/1/1 10:13,3.50861,198888293503_2
2019/1/1 10:15,4.18638,198888293503_2
2019/1/1 10:19,4.91402,198888293503_2
2019/1/1 10:22,5.72472,198888293503_2
2019/1/1 10:27,6.64341,198888293503_2
2019/1/1 10:28,7.05932,198888293503_2
2019/1/1 10:31,7.92201,198888293503_2
2019/1/1 10:33,9.30669,198888293503_2
2019/1/1 10:38,10.32271,198888293503_2
2019/1/1 10:43,11.79302,198888293503_2
2019/1/1 10:44,12.20109,198888293503_2
2019/1/1 10:46,12.95712,198888293503_2
2019/1/1 10:48,13.65437,198888293503_2
2019/1/1 10:54,14.32924,198888293503_2
2019/1/1 10:56,15.07501,198888293503_2
2019/1/1 11:03,16.71311,198888293503_2
2019/1/1 11:09,18.3731,198888293503_2
2019/1/1 11:12,19.80024,198888293503_2
2019/1/1 11:16,21.12827,198888293503_2
2019/1/1 14:11,0,198888293503_4
2019/1/1 14:14,1.32358,198888293503_4
2019/1/1 14:18,2.23103,198888293503_4
2019/1/1 14:21,2.83657,198888293503_4
2019/1/1 14:23,3.50861,198888293503_4
2019/1/1 14:25,4.18638,198888293503_4
2019/1/1 14:27,4.91402,198888293503_4
2019/1/1 14:29,5.72472,198888293503_4
2019/1/1 14:32,6.64341,198888293503_4
2019/1/1 14:33,7.05932,198888293503_4
2019/1/1 14:35,7.92201,198888293503_4
2019/1/1 14:37,9.30669,198888293503_4
2019/1/1 14:42,10.32271,198888293503_4
2019/1/1 14:45,11.79302,198888293503_4
2019/1/1 14:47,12.20109,198888293503_4
2019/1/1 14:48,12.95712,198888293503_4
2019/1/1 14:59,13.65437,198888293503_4
2019/1/1 15:13,14.32924,198888293503_4
2019/1/1 15:16,15.07501,198888293503_4
2019/1/1 15:22,16.71311,198888293503_4
2019/1/1 15:25,18.3731,198888293503_4
2019/1/1 15:30,19.80024,198888293503_4
2019/1/1 15:33,21.12827,198888293503_4
2019/1/1 18:11,0,198888293503_6
2019/1/1 18:14,1.32358,198888293503_6
2019/1/1 18:17,2.23103,198888293503_6
2019/1/1 18:19,2.83657,198888293503_6
2019/1/1 18:21,3.50861,198888293503_6
2019/1/1 18:23,4.18638,198888293503_6
2019/1/1 18:26,4.91402,198888293503_6
2019/1/1 18:28,5.72472,198888293503_6
2019/1/1 18:31,6.64341,198888293503_6
2019/1/1 18:32,7.05932,198888293503_6
2019/1/1 18:34,7.92201,198888293503_6
2019/1/1 18:38,9.30669,198888293503_6
2019/1/1 18:42,10.32271,198888293503_6
2019/1/1 18:48,11.79302,198888293503_6
2019/1/1 18:49,12.20109,198888293503_6
2019/1/1 18:50,12.95712,198888293503_6
